title,authors,abstract,submission_date,pdf_link
"arXiv:2203.11878 [ pdf , other ]","['Luca Franco', 'Leonardo Placidi', 'Francesco Giuliari', 'Irtiza Hasan', 'Marco Cristani', 'Fabio Galasso']","Transformer Networks have established themselves as the de-facto state-of-the-art for trajectory forecasting but there is currently no systematic study on their capability to model the motion patterns of people, without interactions with other individuals nor the social context. This paper proposes the first in-depth study of Transformer Networks (TF) and Bidirectional Transformers (BERT) for the forecasting of the individual motion of people, without bells and whistles. We conduct an exhaustive evaluation of input/output representations, problem formulations and sequence modeling, including a novel analysis of their capability to predict multi-modal futures. Out of comparative evaluation on the ETH+UCY benchmark, both TF and BERT are top performers in predicting individual motions, definitely overcoming RNNs and LSTMs. Furthermore, they remain within a narrow margin wrt more complex techniques, which include both social interactions and scene contexts. Source code will be released for all conducted experiments. △ Less","22 March, 2022",https://arxiv.org/pdf/2203.11878
"arXiv:2304.09880 [ pdf , other ]","['Luisa Lucie-Smith', 'Alexandre Barreira', 'Fabian Schmidt']","We build a deep learning framework that connects the local formation process of dark matter halos to the halo bias. We train a convolutional neural network (CNN) to predict the final mass and concentration of dark matter halos from the initial conditions. The CNN is then used as a surrogate model to derive the response of the halos' mass and concentration to long-wavelength perturbations in the initial conditions, and consequently the halo bias parameters following the ""response bias"" definition . The CNN correctly predicts how the local properties of dark matter halos respond to changes in the large-scale environment, despite no explicit knowledge of halo bias being provided during training. We show that the CNN recovers the known trends for the linear and second-order density bias parameters $b_1$ and $b_2$, as well as for the local primordial non-Gaussianity linear bias parameter $b_φ$. The expected secondary assembly bias dependence on halo concentration is also recovered by the CNN: at fixed mass, halo concentration has only a mild impact on $b_1$, but a strong impact on $b_φ$. Our framework opens a new window for discovering which physical aspects of the halo's Lagrangian patch determine assembly bias, which in turn can inform physical models of halo formation and bias. △ Less","19 April, 2023",https://arxiv.org/pdf/2304.09880
